"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Logout","18","0","","0"
"0","Authentication","0","Register","58","0","","0"
"0","User Management","0","Update User Profile","6","0","","0"
"0","Authentication","0","Get Current User","24","0","","0"
"0","Authentication","0","Refresh Token","25","0","","0"
"0","Authentication","0","Login","32","0","","0"
"0","User Management","0","Create User","8","0","","0"
"0","User Management","0","User Search and Filter","6","0","","0"
"0","Authentication","0","Cookie Security","12","0","","0"
"0","User Management","0","Assign Partner Level","6","0","","0"
"0","User Management","0","User List API","3","0","","0"
"0","User Management","0","Update User Status","4","0","","0"
"0","User Management","0","Self Profile Update","6","0","","0"
"0","User Management","0","Remove Partner Level","3","0","","0"
"0","User Management","0","Get User By ID","4","0","","0"
"0","User Management","0","Update User Tier","5","0","","0"
"0","Authentication","0","Auth Flows","12","0","","0"
"0","User Management","0","Change Password","6","0","","0"
"0","User Management","0","Delete User","4","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
